Film,Code,Arousal mean,Model_A (PANAS),Model_B (Averages),Model_C (Dominant),Model_D (PCA),Length,Duration_ms
The Blair Witch Project,65.0,4.95,-0.7286,-0.3488,-0.6968,-0.1731,3’57’’,237000
Seven (2),17.0,4.95,-0.4728,-0.4195,-0.6146,-0.2143,1’ 43’’,103000
The dentist,57.0,4.57,-0.6077,-0.4245,-0.6616,-0.2292,56’’,56000
Scream 1,26.0,5.29,-0.6625,-0.43,-0.6075,-0.2768,6’33’’,393000
A perfect World,53.0,5.78,-0.3032,-0.2705,0.0505,-0.283,4’27’’,267000
Seven (1),75.0,5.69,-0.2771,-0.4883,-0.5253,-0.3117,5’52’’,352000
The professional (2),51.0,5.0,-0.5607,-0.4769,-0.5159,-0.3216,5’39’’,339000
Life is beautiful (1),64.0,5.48,-0.4728,-0.3807,-0.1868,-0.3223,2’07’’,127000
Trainspotting (1),110.0,5.07,-0.572,-0.5164,-0.4689,-0.3583,1’37’’,97000
Schindler's list (3),78.0,5.06,-0.5903,-0.5765,-0.577,-0.4853,1’30’’,90000
Misery,510.0,6.12,-0.8312,-0.7029,-0.9271,-0.5452,3’31’’,211000
The Piano,49.0,5.67,-0.8582,-0.6968,-0.7509,-0.5471,43’’,43000
Saving Private Ryan,37.0,5.73,-0.6981,-0.7283,-0.7791,-0.5725,5’22’’,322000
Leaving Las Vegas,61.0,5.0,-0.8069,-0.6804,-0.7438,-0.5883,2’30’’,150000
Dead Man Walking,31.0,5.87,-0.6868,-0.7405,-0.8096,-0.6421,6’40’’,400000
Man Bites Dog (1),73.0,5.41,-0.766,-0.7515,-0.7932,-0.6499,1’54’’,114000
Schindler's list (2),12.0,5.13,-0.8199,-0.8353,-0.7415,-0.7476,1’55’’,115000
Sleepers,35.0,5.63,-0.8939,-0.8734,-1.0,-0.7535,2’20’’,140000
American History X,15.0,5.84,-1.0,-0.955,-0.9483,-0.8923,1’ 17’’,77000
Schindler's list (1),29.0,5.88,-0.9574,-1.0,-0.9342,-1.0,1’18’’,78000
